12.9.1986  Big Country; Jäähalli, Helsinki [C]
8.4.1991   The Nits; Savoy-teatteri [C]
18.9.1991  Marillion; Donauinsel, Vienna, Austria [C]
24.5.1992  U2, Soundgarden; Donauinsel, Vienna, Austria [C]
23.9.1992  The Cure, The Cranes; Jäähalli [C]
31.6.1992  Inter-rail; Europe (31 days)
21.4.1993  The Nits; Savoy-teatteri [C]
12.6.1993  Total Balalaika Show; Senaatintori [C]
10.7.1993  Ruisrock-93: Runrig; Ruissalo, Turku [C]
11.7.1993  Ruisrock-93: Jethro Tull, Chris Isaak; Ruissalo, Turku [C]
17.5.1993  Lemmenjuoma; Suomen Kansallisooppera
5.5.1994   Jethro Tull; Kulttuuritalo [C]
10?.7.1994 Ruisrock-94: The Nits; Ruissalo, Turku [C]
6.8.1994   Ropecon 1994; Paasitorni (2 days)
20.3.1995  Metsähovi Review Meeting; The Canary Islands
21.5.1995  Marillion; Tavastia [C]
9.7.1995   Ruisrock-95: The Beautiful South, Simple Minds; Ruissalo, Turku [C]
3.12.1995  The Nits; Vanha [C]
2.8.1996   Ropecon 1996; Paasitorni (3 days)
5.12.1996  Eppu Normaali; Tavastia [C]
16.6.1997  Jean-Michel Jarre; Hartwall Areena [C]
1.8.1997   Ropecon 1997; Paasitorni (3 days)
8.8.1997   Assembly '97; Helsinki Fair Centre (3 days)
18.9.1997  David Copperfield; Hartwall Areena
1.10.1997  Fish; Tavastia [C]
8.12.1997  The Corrs; The Olympia Theatre, Dublin, Ireland [C]
6.3.1998   Aknestik; Vanha [C]
23.3.1998  The Nits; Savoy-teatteri [C]
28.3.1998  Aknestik; Tulliklubi, Tampere [C]
16.4.1998  Jonna Tervomaa; Vanha [C]
2.5.1998   Vanessa-Mae; Hartwall Areena [C]
6.6.1998   Jonna Tervomaa; Tavastia [C]
8.7.1998   The Corrs; den Atelier, Luxemburg [C]
10.7.1998  The Corrs, Simple Minds; Roncalliplatz, Cologne, Germany [C]
11.7.1998  Big Country; The Olympia Theatre, Dublin, Ireland [C]
30.7.1998  Jonna Tervomaa; Kaivohuone [C]
7.8.1998   Assembly'98; Helsinki Fair Centre
20.8.1998  Ropecon 1998; Dipoli (3 days)
15.1.1999  The Corrs; The Point, Dublin, Ireland [C]
16.1.1999  The Corrs; The Point, Dublin, Ireland [C]
3.2.1999   The Corrs, Babel Fish; Le Zenith, Paris, France [C]
4.2.1999   The Corrs, Babel Fish; Vredenburg, Utrecht, Netherlands [C]
6.2.1999   The Corrs, Babel Fish; The Globe, Stockholm, Sweden [C]
26.3.1999  Aknestik; Vanha [C]
2.7.1999   Skellefteå festival: The Corrs; Skellefteå, Sweden [C]
17.7.1999  The Corrs; Lansdowne Road Stadium, Dublin, Ireland [C]
20.8.1999  Ropecon 99; Dipoli (3 days)
13.9.1999  Jonna Tervomaa; Tavastia [C]
9.10.1999  Maija Vilkkumaa; Tavastia [C]
13.10.1999 Aknestik; Tavastia [C]
13.11.1999 Jonna Tervomaa; Tavastia [C]
